10 X 10 | 1 0.000000
10 X 10 | 2 0.000000
10 X 10 | 3 0.000000
10 X 10 | 4 0.000000
10 X 10 | 5 0.000000
10 X 10 | 6 0.000000
10 X 10 | 7 0.000000
10 X 10 | 8 0.000000
10 X 10 | 9 0.000000
10 X 10 | 10 0.000000
10 X 10 | 11 0.000000
10 X 10 | 12 0.000000
10 X 10 | 13 0.000000
10 X 10 | 14 0.000000
10 X 10 | 15 0.000000
10 X 10 | 16 0.000000
10 X 10 | 17 0.000000
10 X 10 | 18 0.000000
10 X 10 | 19 5.000000
10 X 10 | 20 10.000000
10 X 10 | 21 5.000000
10 X 10 | 22 10.000000
10 X 10 | 23 20.000000
10 X 10 | 24 30.000000
10 X 10 | 25 35.000000
10 X 10 | 26 25.000000
10 X 10 | 27 30.000000
10 X 10 | 28 40.000000
10 X 10 | 29 35.000000
10 X 10 | 30 20.000000
10 X 10 | 31 20.000000
10 X 10 | 32 30.000000
10 X 10 | 33 30.000000
10 X 10 | 34 45.000000
10 X 10 | 35 50.000000
10 X 10 | 36 45.000000
10 X 10 | 37 30.000000
10 X 10 | 38 30.000000
10 X 10 | 39 35.000000
10 X 10 | 40 60.000000
10 X 10 | 41 35.000000
10 X 10 | 42 25.000000
10 X 10 | 43 20.000000
10 X 10 | 44 30.000000
10 X 10 | 45 55.000000
10 X 10 | 46 25.000000
10 X 10 | 47 40.000000
10 X 10 | 48 50.000000
10 X 10 | 49 30.000000
10 X 10 | 50 30.000000
10 X 10 | 51 30.000000
10 X 10 | 52 10.000000
10 X 10 | 53 5.000000
10 X 10 | 54 20.000000
10 X 10 | 55 25.000000
10 X 10 | 56 5.000000
10 X 10 | 57 10.000000
10 X 10 | 58 10.000000
10 X 10 | 59 0.000000
10 X 10 | 60 10.000000
10 X 10 | 61 5.000000
10 X 10 | 62 5.000000
10 X 10 | 63 0.000000
10 X 10 | 64 0.000000
10 X 10 | 65 0.000000
10 X 10 | 66 0.000000
10 X 10 | 67 0.000000
10 X 10 | 68 0.000000
10 X 10 | 69 0.000000
10 X 10 | 70 0.000000
10 X 10 | 71 0.000000
10 X 10 | 72 0.000000
10 X 10 | 73 0.000000
10 X 10 | 74 0.000000
10 X 10 | 75 0.000000
10 X 10 | 76 0.000000
10 X 10 | 77 0.000000
10 X 10 | 78 0.000000
10 X 10 | 79 0.000000
10 X 10 | 80 0.000000
10 X 10 | 81 0.000000
10 X 10 | 82 0.000000
10 X 10 | 83 0.000000
10 X 10 | 84 0.000000
10 X 10 | 85 0.000000
10 X 10 | 86 0.000000
10 X 10 | 87 0.000000
10 X 10 | 88 0.000000
10 X 10 | 89 0.000000
10 X 10 | 90 0.000000
10 X 10 | 91 0.000000
10 X 10 | 92 0.000000
10 X 10 | 93 0.000000
10 X 10 | 94 0.000000
10 X 10 | 95 0.000000
10 X 10 | 96 0.000000
10 X 10 | 97 0.000000
10 X 10 | 98 0.000000
10 X 10 | 99 0.000000
10 X 10 | 100 0.000000
15 X 15 | 1 0.000000
15 X 15 | 2 0.000000
15 X 15 | 3 0.000000
15 X 15 | 4 0.000000
15 X 15 | 5 0.000000
15 X 15 | 6 0.000000
15 X 15 | 7 0.000000
15 X 15 | 8 0.000000
15 X 15 | 9 0.000000
15 X 15 | 10 0.000000
15 X 15 | 11 0.000000
15 X 15 | 12 0.000000
15 X 15 | 13 0.000000
15 X 15 | 14 0.000000
15 X 15 | 15 0.000000
15 X 15 | 16 5.000000
15 X 15 | 17 20.000000
15 X 15 | 18 5.000000
15 X 15 | 19 15.000000
15 X 15 | 20 15.000000
15 X 15 | 21 35.000000
15 X 15 | 22 25.000000
15 X 15 | 23 35.000000
15 X 15 | 24 30.000000
15 X 15 | 25 30.000000
15 X 15 | 26 40.000000
15 X 15 | 27 55.000000
15 X 15 | 28 45.000000
15 X 15 | 29 55.000000
15 X 15 | 30 40.000000
15 X 15 | 31 50.000000
15 X 15 | 32 25.000000
15 X 15 | 33 30.000000
15 X 15 | 34 60.000000
15 X 15 | 35 50.000000
15 X 15 | 36 40.000000
15 X 15 | 37 25.000000
15 X 15 | 38 25.000000
15 X 15 | 39 50.000000
15 X 15 | 40 40.000000
15 X 15 | 41 15.000000
15 X 15 | 42 30.000000
15 X 15 | 43 20.000000
15 X 15 | 44 15.000000
15 X 15 | 45 15.000000
15 X 15 | 46 25.000000
15 X 15 | 47 25.000000
15 X 15 | 48 5.000000
15 X 15 | 49 35.000000
15 X 15 | 50 15.000000
15 X 15 | 51 15.000000
15 X 15 | 52 10.000000
15 X 15 | 53 10.000000
15 X 15 | 54 0.000000
15 X 15 | 55 0.000000
15 X 15 | 56 10.000000
15 X 15 | 57 0.000000
15 X 15 | 58 0.000000
15 X 15 | 59 0.000000
15 X 15 | 60 0.000000
15 X 15 | 61 0.000000
15 X 15 | 62 0.000000
15 X 15 | 63 0.000000
15 X 15 | 64 0.000000
15 X 15 | 65 0.000000
15 X 15 | 66 0.000000
15 X 15 | 67 0.000000
15 X 15 | 68 0.000000
15 X 15 | 69 0.000000
15 X 15 | 70 0.000000
15 X 15 | 71 0.000000
15 X 15 | 72 0.000000
15 X 15 | 73 0.000000
15 X 15 | 74 0.000000
15 X 15 | 75 0.000000
15 X 15 | 76 0.000000
15 X 15 | 77 0.000000
15 X 15 | 78 0.000000
15 X 15 | 79 0.000000
15 X 15 | 80 0.000000
15 X 15 | 81 0.000000
15 X 15 | 82 0.000000
15 X 15 | 83 0.000000
15 X 15 | 84 0.000000
15 X 15 | 85 0.000000
15 X 15 | 86 0.000000
15 X 15 | 87 0.000000
15 X 15 | 88 0.000000
15 X 15 | 89 0.000000
15 X 15 | 90 0.000000
